Time, Position, Velocity, Voltage
0.010000000000000002,0.002844424468202966,0.5898863505263103,12.0
0.02000000000000001,0.010666637723255032,0.9887571159031416,12.0
0.03000000000000002,0.021854744122847915,1.258466505398844,12.0
0.04000000000000003,0.0353188082108019,1.4408392463878226,12.0
0.05000000000000004,0.05032183481977693,1.5641564832034252,12.0
0.060000000000000046,0.06636548079229246,1.6475414277591163,12.0
0.07000000000000005,0.08311277525850683,1.7039248592898812,12.0
0.08000000000000006,0.10033586444854811,1.7420503430702445,12.0
0.09000000000000007,0.11788067765455579,1.7678301240098564,12.0
0.10000000000000007,0.13564303497626323,1.7852619580325548,12.0
0.11000000000000008,0.15355249179917968,1.797049057314225,12.0
0.12000000000000009,0.17156141471515193,1.8050192863386085,12.0
0.1300000000000001,0.18963759485216475,1.8104086148903678,12.0
0.1400000000000001,0.20775925313799326,1.8140527839788532,12.0
0.1500000000000001,0.22591166294741594,1.8165169069615086,12.0
0.16000000000000011,0.24408486639571755,1.8181831035419136,12.0
0.17000000000000012,0.2622015845941102,1.804679783543323,11.702383902659907
0.18000000000000013,0.2799986561774101,1.752890710165485,10.834588957134144
0.19000000000000014,0.29715863764200695,1.6763816658605493,9.990558212818716
0.20000000000000015,0.31348258460769207,1.5851600037054963,9.187265986316566
0.21000000000000016,0.32885736499751805,1.4862755352629722,8.430469635928857
0.22000000000000017,0.3432299732465716,1.3846271739224925,7.7228535076447
0.23000000000000018,0.3565888905569024,1.283557966887143,7.065037820194848
0.24000000000000019,0.36895062499517417,1.185290343008456,6.456247899338101
0.25000000000000017,0.38035003830629766,1.0912440309112037,5.894794498206943
0.2600000000000002,0.39083343683269767,1.0022678973360495,5.378416935341761
0.2700000000000002,0.4004536764576608,0.918808666413223,4.9045262791857125
0.2800000000000002,0.4092667317134975,0.8410333866526816,4.470375862033462
0.2900000000000002,0.41732932626398156,0.7689180331363403,4.073179109565346
0.3000000000000002,0.4246973299703093,0.7023113401710301,3.7101893137133946
0.3100000000000002,0.43142470703551405,0.6409805401412317,3.378752042822666
0.32000000000000023,0.43756285790642635,0.5846439063539914,3.076337996208771
0.33000000000000024,0.4431602402911786,0.5329936913574059,2.8005619926223435
0.34000000000000025,0.44826218593780787,0.48571209259696263,2.5491922297113545
0.35000000000000026,0.4529108527397004,0.44248217249235694,2.3201528142930883
0.36000000000000026,0.457145268509171,0.4029951425373491,2.1115217308338208
0.3700000000000003,0.46100143502496566,0.3669550411973544,1.9215258069367325
0.3800000000000003,0.46451246991345796,0.33408155670392753,1.7485337902962206
0.3900000000000003,0.467708770448897,0.30411154149002784,1.5910483277222642
0.4000000000000003,0.4706181881033751,0.2767996152510314,1.4476974013188926
0.4100000000000003,0.4732662061182424,0.2519181439557622,1.3172256060946985
0.4200000000000003,0.47567611485513467,0.22925680191347764,1.198485529848612
0.4300000000000003,0.4778691814732288,0.2086218653953001,1.0904294073729837
0.44000000000000034,0.4798648117581837,0.18983534355729015,0.9921011575060046
0.45000000000000034,0.48168070283561654,0.1727340212888332,0.9026288664886284
0.46000000000000035,0.4833329861392168,0.15716846600808831,0.821217749412555
0.47000000000000036,0.4848363604449195,0.14300203406455175,0.7471435996023823
0.48000000000000037,0.486204215082279,0.13010990061217878,0.6797467208613783
0.4900000000000004,0.48744874363201907,0.11837812835539761,0.6184263276551016
0.5000000000000003,0.4885810485436913,0.10770278454256137,0.5626353920714022
0.5100000000000003,0.489611237180597,0.09798911132529338,0.5118759127293071
0.5200000000000004,0.49054850983599724,0.08915075163290301,0.4656945789503597
0.5300000000000004,0.4914012402762961,0.08110903067345765,0.42367880289932547
0.5400000000000004,0.49217704936142015,0.07379229180745471,0.3854530926482225
0.5500000000000004,0.49288287227581024,0.06713528465644426,0.3506757399278637
0.5600000000000004,0.49352501987946396,0.061078602768972846,0.31903579750062416
0.5700000000000004,0.4941092346602583,0.05556816786896421,0.2902503224688102
0.5800000000000004,0.4946407417384145,0.05055475758385667,0.2640618633221825
0.5900000000000004,0.49512429534288693,0.04599357353846445,0.2402361700551081
0.6000000000000004,0.49556422114864074,0.04184384676730021,0.21856010819830907
0.6100000000000004,0.4959644548338728,0.03806847751555412,0.19883975908112195
0.6200000000000004,0.49632857718765494,0.03463370664748587,0.18089869004668024
0.6300000000000004,0.49665984607145836,0.0315088160467767,0.1645763796715327
0.6400000000000005,0.49696122551270566,0.028665855566794508,0.14972678428828878
0.6500000000000005,0.49723541218491335,0.026079394263019678,0.13621703327021617
0.6600000000000005,0.49748485950713633,0.023726293810664947,0.12392624161351229
0.6700000000000005,0.4977117995752446,0.021585502174836242,0.11274442934631868
0.6800000000000005,0.4979182631189938,0.019637865756677714,0.10257153820879772
0.6900000000000005,0.49810609766178876,0.017865958385773206,0.09331653688832375
0.7000000000000005,0.4982769840444072,0.016253925666252486,0.08489660686469946
0.7100000000000005,0.4984324514596362,0.01478734331143108,0.07723640162466516
0.7200000000000005,0.49857389113169387,0.013453088219659287,0.07026737265013239
0.7300000000000005,0.49870256876235575,0.012239221152659982,0.06392715617284939
0.7400000000000005,0.49881963585480293,0.011134879977494627,0.05815901522574496
0.7500000000000006,0.4989261400162595,0.010130182524905298,0.052911332011147394
0.7600000000000006,0.4990230343314203,0.009216138200690309,0.04813714605293118
0.7700000000000006,0.4991111858904074,0.008384567563518292,0.04379373400667852
0.7800000000000006,0.4991913835474626,0.00762802915271358,0.03984222737285492
0.7900000000000006,0.49926434497973204,0.006939752913581837,0.0362472646960299
0.8000000000000006,0.49933072310925253,0.006313579626239404,0.032976675140239387
